year,month,SO2 Mean
2007,1,10.861477549295774
2007,2,12.9036174625
2007,3,7.50324141772152
2007,4,4.681641283333334
2007,5,3.2988188655913975
2007,6,2.8481327183908043
2007,7,3.276635514925373
2007,8,2.753549273972603
2007,9,2.3857935555555554
2007,10,3.534503612903226
2007,11,6.242173016666667
2007,12,7.59676089010989
2008,1,9.910129241935483
2008,2,8.610304287356321
2008,3,5.117549528169015
2008,4,3.344476183333333
2008,5,2.646978459677419
2008,6,3.2216856666666667
2008,7,3.2385480188679248
2008,8,2.042838240740741
2008,9,1.7008752627118644
2008,10,4.55487385483871
2008,11,5.980943483333333
2008,12,7.5410230725806455
2009,1,11.07316775
2009,2,8.423489669642857
2009,3,5.960415929824562
2009,4,3.8663581750000002
2009,5,1.9482210483870968
2009,6,1.3112327818181817
2009,7,1.7632185675675676
2009,8,2.072465955555556
2009,9,1.639808456140351
2009,10,3.241540258064516
2009,11,3.8726451916666664
2009,12,7.056360282258065
